lumping_code,phylum,class
ANTELE,Cnidaria,Anthozoa
ARTCOR,Rhodophyta,Florideophyceae
ASTSER,Echinodermata,Asteroidea
BARNAC,Arthropoda,Thecostraca
CAUUST,Rhodophyta,Florideophyceae
CHITON,Mollusca,Polyplacophora
CHOCAN,Rhodophyta,Florideophyceae
CHTBAL,Arthropoda,Thecostraca
CLACOL,Chlorophyta,Ulvophyceae
COLLEA,Ochrophyta,Phaeophyceae
CRUCOR,Rhodophyta,Florideophyceae
DERIMB,Echinodermata,Asteroidea
DIDVEX,Chordata,Ascidiacea
EGRMEN,Ochrophyta,Phaeophyceae
EISARB,Ochrophyta,Phaeophyceae
ENDMUR,Rhodophyta,Florideophyceae
ENPEPH,Ochrophyta,Phaeophyceae
EVATRO,Echinodermata,Asteroidea
FUCGAR,Ochrophyta,Phaeophyceae
GELPTE,Rhodophyta,Florideophyceae
HALCRA,Mollusca,Gastropoda
HALSTE,Ochrophyta,Phaeophyceae
HEDSES,Ochrophyta,Phaeophyceae
HENSPP,Echinodermata,Asteroidea
HESCAL,Ochrophyta,Phaeophyceae
KATTUN,Mollusca,Polyplacophora
LEPTAS,Echinodermata,Asteroidea
LIMPET,Mollusca,Gastropoda
LOMHAK,Rhodophyta,Florideophyceae
LOTGIG,Mollusca,Gastropoda
MASSPP,Rhodophyta,Florideophyceae
MAZAFF,Rhodophyta,Florideophyceae
MAZPAR,Rhodophyta,Florideophyceae
MAZSPP,Rhodophyta,Florideophyceae
MYTCAL,Mollusca,Bivalvia
MYTTRO,Mollusca,Bivalvia
NEOLAR,Rhodophyta,Florideophyceae
NONCRU,NULL,NULL
ORTKOE,Echinodermata,Asteroidea
OTHALG,NULL,NULL
OTHBAR,Arthropoda,Thecostraca
OTHBRO,NULL,NULL
OTHGRE,Chlorophyta,NULL
OTHINV,NULL,NULL
OTHRED,Rhodophyta,NULL
OTHSUB,NULL,NULL
PATMIN,Echinodermata,Asteroidea
PELLIM,Ochrophyta,Phaeophyceae
PHRSAB,Annelida,Polychaeta
PHYSPP,Tracheophyta,Magnoliopsida
PHYUND,Tracheophyta,Magnoliopsida
PISBRE,Echinodermata,Asteroidea
PISGIG,Echinodermata,Asteroidea
PISOCH,Echinodermata,Asteroidea
POLPOL,Arthropoda,Thecostraca
PORSPP,Rhodophyta,Bangiophyceae
POSPAL,Ochrophyta,Phaeophyceae
PYCHEL,Echinodermata,Asteroidea
ROCK,NULL,NULL
SAND,NULL,NULL
SARHOR,Ochrophyta,Phaeophyceae
SARMUT,Ochrophyta,Phaeophyceae
SCYSPP,Ochrophyta,Phaeophyceae
SEMCAR,Arthropoda,Thecostraca
SEPBRA,Mollusca,Bivalvia
SILCOM,Ochrophyta,Phaeophyceae
SILHES,Ochrophyta,Phaeophyceae
STRFRA,Echinodermata,Echinoidea
STRPUR,Echinodermata,Echinoidea
TAR,NULL,NULL
TETRUB,Arthropoda,Thecostraca
ULVENT,Chlorophyta,Ulvophyceae
UNDPIN,Ochrophyta,Phaeophyceae
UNIDEN,NULL,NULL
ZOSMAR,Tracheophyta,Magnoliopsida
