DATE OF OBSERVATION,OCCURENCE,BEHAVIOUR
6/30/2023,4,TORPEDO
6/30/2023,2,CHASE
6/30/2023,0,PORPOISE
6/30/2023,0,SPLASH
6/30/2023,0,GALUMPH
6/30/2023,0,ACKNOWLEDGE BOAT
6/30/2023,0,ACKNOWLEDGE ZODIAC
6/30/2023,0,ACKNOWLEDGE SEAPLANE
6/30/2023,0,OBJECT MANIPULATION
6/30/2023,0,CLIMB
6/30/2023,2,BITE
6/30/2023,7,BANANA POSE
6/30/2023,3,BOTTLE POSE
6/30/2023,5,HAUL OUT
6/30/2023,0,SLAP
6/30/2023,1,OTHER
7/1/2023,0,TORPEDO
7/1/2023,1,CHASE
7/1/2023,1,PORPOISE
7/1/2023,0,SPLASH
7/1/2023,3,GALUMPH
7/1/2023,0,ACKNOWLEDGE BOAT
7/1/2023,1,ACKNOWLEDGE ZODIAC
7/1/2023,0,ACKNOWLEDGE SEAPLANE
7/1/2023,1,OBJECT MANIPULATION
7/1/2023,0,CLIMB
7/1/2023,0,BITE
7/1/2023,1,BANANA POSE
7/1/2023,4,BOTTLE POSE
7/1/2023,5,HAUL OUT
7/1/2023,,SLAP
7/1/2023,2,SLAP
7/2/2023,2,TORPEDO
7/2/2023,2,CHASE
7/2/2023,0,PORPOISE
7/2/2023,2,SPLASH
7/2/2023,8,GALUMPH
7/2/2023,0,ACKNOWLEDGE BOAT
7/2/2023,1,ACKNOWLEDGE ZODIAC
7/2/2023,0,ACKNOWLEDGE SEAPLANE
7/2/2023,0,OBJECT MANIPULATION
7/2/2023,0,CLIMB
7/2/2023,0,BITE
7/2/2023,1,BANANA POSE
7/2/2023,4,BOTTLE POSE
7/2/2023,7,HAUL OUT
7/2/2023,0,SLAP
7/2/2023,0,OTHER
7/3/2023,1,TORPEDO
7/3/2023,0,CHASE
7/3/2023,0,PORPOISE
7/3/2023,0,SPLASH
7/3/2023,0,GALUMPH
7/3/2023,0,ACKNOWLEDGE BOAT
7/3/2023,2,ACKNOWLEDGE ZODIAC
7/3/2023,0,ACKNOWLEDGE SEAPLANE
7/3/2023,0,OBJECT MANIPULATION
7/3/2023,0,CLIMB
7/3/2023,0,BITE
7/3/2023,1,BANANA POSE
7/3/2023,7,BOTTLE POSE
7/3/2023,1,HAUL OUT
7/3/2023,0,SLAP
7/3/2023,1,OTHER
7/4/2023,1,TORPEDO
7/4/2023,0,CHASE
7/4/2023,0,SPLASH
7/4/2023,2,GALUMPH
7/4/2023,0,ACKNOWLEDGE BOAT
7/4/2023,0,ACKNOWLEDGE ZODIAC
7/4/2023,3,ACKNOWLEDGE SEAPLANE
7/4/2023,0,OBJECT MANIPULATION
7/4/2023,1,CLIMB
7/4/2023,0,BITE
7/4/2023,2,BANANA POSE
7/4/2023,4,BOTTLE POSE
7/4/2023,1,HAUL OUT
7/4/2023,0,SLAP
7/5/2023,3,TORPEDO
7/5/2023,0,CHASE
7/5/2023,0,PORPOISE
7/5/2023,3,SPLASH
7/5/2023,0,GALUMPH
7/5/2023,1,ACKNOWLEDGE BOAT
7/5/2023,0,ACKNOWLEDGE ZODIAC
7/5/2023,4,ACKNOWLEDGE SEAPLANE
7/5/2023,0,OBJECT MANIPULATION
7/5/2023,0,CLIMB
7/5/2023,0,BITE
7/5/2023,1,BANANA POSE
7/5/2023,4,BOTTLE POSE
7/5/2023,,HAUL OUT
7/5/2023,3,HAUL OUT
7/5/2023,0,SLAP
7/5/2023,2,OTHER
