Occurrence,Behavior,Category
4,TORPEDO,Water
2,CHASE,Land
0,PORPOISE,Water
0,SPLASH,Water
0,GALUMPH,Land
0,ACKNOWLEDGE BOAT,Human Disturbance
0,ACKNOWLEDGE ZODIAC,Human Disturbance
0,ACKNOWLEDGE SEAPLANE,Human Disturbance
0,OBJECT MANIPULATION,Land + Water
0,CLIMB,Land
2,BITE,Land + Water
7,BANANA POSE,Land
3,BOTTLE POSE,Water
5,HAUL OUT,Land
0,SLAP,Water
1,OTHER,Other
0,TORPEDO,Water
1,CHASE,Land
1,PORPOISE,Water
0,SPLASH,Water
3,GALUMPH,Land
0,ACKNOWLEDGE BOAT,Human Disturbance
1,ACKNOWLEDGE ZODIAC,Human Disturbance
0,ACKNOWLEDGE SEAPLANE,Human Disturbance
1,OBJECT MANIPULATION,Land + Water
0,CLIMB,Land
0,BITE,Land + Water
1,BANANA POSE,Land
4,BOTTLE POSE,Water
5,HAUL OUT,Land
2,SLAP,Water
2,TORPEDO,Water
2,CHASE,Land
0,PORPOISE,Water
2,SPLASH,Water
8,GALUMPH,Land
0,ACKNOWLEDGE BOAT,Human Disturbance
1,ACKNOWLEDGE ZODIAC,Human Disturbance
0,ACKNOWLEDGE SEAPLANE,Human Disturbance
0,OBJECT MANIPULATION,Land + Water
0,CLIMB,Land
0,BITE,Land + Water
1,BANANA POSE,Land
4,BOTTLE POSE,Water
7,HAUL OUT,Land
0,SLAP,Water
0,OTHER,Other
1,TORPEDO,Water
0,CHASE,Land
0,PORPOISE,Water
0,SPLASH,Water
0,GALUMPH,Land
0,ACKNOWLEDGE BOAT,Human Disturbance
2,ACKNOWLEDGE ZODIAC,Human Disturbance
0,ACKNOWLEDGE SEAPLANE,Human Disturbance
0,OBJECT MANIPULATION,Land + Water
0,CLIMB,Land
0,BITE,Land + Water
1,BANANA POSE,Land
7,BOTTLE POSE,Water
1,HAUL OUT,Land
0,SLAP,Water
1,OTHER,Other
1,TORPEDO,Water
0,CHASE,Land
0,SPLASH,Water
2,GALUMPH,Land
0,ACKNOWLEDGE BOAT,Human Disturbance
0,ACKNOWLEDGE ZODIAC,Human Disturbance
3,ACKNOWLEDGE SEAPLANE,Human Disturbance
0,OBJECT MANIPULATION,Land + Water
1,CLIMB,Land
0,BITE,Land + Water
2,BANANA POSE,Land
4,BOTTLE POSE,Water
1,HAUL OUT,Land
0,SLAP,Water
3,TORPEDO,Water
0,CHASE,Land
0,PORPOISE,Water
3,SPLASH,Water
0,GALUMPH,Land
1,ACKNOWLEDGE BOAT,Human Disturbance
0,ACKNOWLEDGE ZODIAC,Human Disturbance
4,ACKNOWLEDGE SEAPLANE,Human Disturbance
0,OBJECT MANIPULATION,Land + Water
0,CLIMB,Land
0,BITE,Land + Water
1,BANANA POSE,Land
4,BOTTLE POSE,Water
3,HAUL OUT,Land
0,SLAP,Water
2,OTHER,Other
